,Name,Link,Distance,Date,id_course,Year,nom,annee,nb_pts_mont,pays,type_partic,pct_route,pct_piste,pct_sentier,challenge,championnat,inscr_nb,inscr_dt_min,inscr_dt_max,inscr_sur_place,inscr_tarif,inscr_tarif_devise,nb_etp,latitude,longitude,pays_arrivee,ville_depart,ville_arrivee,pays_depart,inscr_site,heure_depart,dist_tot,deniv_tot,deniv_neg_tot,nb_pts,temps_max
0,Chianti Trail Ultra 2020 - Cut Chianti Trail Ultra 73k 73.30 K,https://itra.run/race/9509,73.30 km, 01/01/2020,9509,2020,CUT Chianti Trail Ultra 73K,2020,4,IT,solo,2,80,18,,,350,0000-00-00,0000-00-00,0,65.0,EUR,1,43.4871,11.3747,IT,Radda in Chianti,Radda in Chianti,IT,https://www.chiantiultratrail.com,2020-01-01 00:00:00,73.30,2720,2720,3,50400
1,New Year Ne Mountain Race  2020 - Challenge - Solo 27.80 K,https://itra.run/race/13893,27.80 km, 01/01/2020,13893,2020,Challenge - Solo,2020,6,HK,solo,10,5,85,,,200,2019-06-01,2019-12-23,1,0.0,0,1,22.4741,114.235,,Hok Tau,Tai Mei Tuk,,https://endurancecui.active.com/new/events/62679753/select-race?_p=17320793677953605,2020-01-01 09:15:00,27.80,1630,1660,1,23400
2,New Year Ne Mountain Race  2020 - Challenge - Team 27.80 K,https://itra.run/race/13895,27.80 km, 01/01/2020,13895,2020,Challenge - Team,2020,6,HK,team,10,5,85,,,100,2019-06-01,2019-12-21,1,0.0,0,1,22.4741,114.235,,Hok Tau,Tai Mei Tuk,,https://endurancecui.active.com/new/events/62679753/select-race?_p=9508423206478427,2020-01-01 09:15:00,27.80,1630,1660,1,23400
3,New Year Ne Mountain Race  2020 - Elite - Solo 33.30 K,https://itra.run/race/13897,33.30 km, 01/01/2020,13897,2020,Elite - Solo,2020,6,HK,solo,15,5,80,,,200,2019-06-01,2019-12-21,1,0.0,0,1,22.4741,114.235,,Hok Tau,Tai Mei Tuk,,https://endurancecui.active.com/new/events/62679753/select-race?_p=9508423206478427,2020-01-01 09:00:00,33.30,1910,1950,2,28800
4,New Year Ne Mountain Race  2020 - Elite - Team 33.30 K,https://itra.run/race/13899,33.30 km, 01/01/2020,13899,2020,Elite - Team,2020,6,HK,team,15,5,80,,,100,2019-06-01,2019-12-21,1,0.0,0,1,22.4741,114.235,,Hok Tau,Tai Mei Tuk,,https://endurancecui.active.com/new/events/62679753/select-race?_p=519093599191961,2020-01-01 09:00:00,33.30,1910,1950,2,28800
5,Ultramaratona Caminhos De Caravaggio 2020 - U M C C 217km Solo 217.60 K,https://itra.run/race/21377,217.60 km, 01/01/2020,21377,2020,U M C C 217km SOLO,2020,,BR,solo,18,80,2,,,200,2019-08-12,2020-03-21,1,0.0,0,1,-29.2265,-51.3468,,CANELA,FARROUPILHA,,http://www.ultracaminhosdecaravaggio.com.br/,2020-01-01 08:00:00,217.60,5620,5750,-1,216000
6,Ultra Trail Cote D'azur Mercantour 2020 - Utcam 10km 9.30 K,https://itra.run/race/17809,9.30 km, 01/01/2020,17809,2020,UTCAM 10km,2020,8,FR,solo,2,4,94,,,0,0000-00-00,0000-00-00,0,0.0,0,1,44.0701,7.2565,,Saint Martin Vesubie,,,,2020-01-01 00:00:00,9.30,650,650,0,9000
7,La Mythik 2020 - La Mythik Yole 16.90 K,https://itra.run/race/22731,16.90 km, 01/01/2020,22731,2020,LA MYTHIK YOLE,2020,7,FR,solo,15,0,85,,,400,2019-10-28,2020-01-22,0,0.0,0,1,16.0652,-61.7334,,LE PRECHEUR,GRAND RIVIERE,,https://tchimberaid.com/#,2020-01-01 06:30:00,16.90,1090,1120,1,25200
8,Liuzhou100km  2020 - Liuzhou100---30km 31.30 K,https://itra.run/race/22991,31.30 km, 01/01/2020,22991,2020,liuzhou100---30KM,2020,3,CN,solo,30,20,50,,,500,2019-11-08,2019-12-19,0,0.0,0,1,24.3211,109.407,,liuzhou ,liuzhou,,https://mp.weixin.qq.com/s/T5Q_RT-xBmWH7mbGyTz3cQ,2020-01-01 06:30:00,31.30,830,840,1,16020
9,Liuzhou100km  2020 - Liuzhou100-50km 51.90 K,https://itra.run/race/22993,51.90 km, 01/01/2020,22993,2020,liuzhou100-50KM,2020,0,CN,solo,40,20,40,,,1,2019-11-08,2019-11-18,0,0.0,0,1,24.3211,109.407,,liuzhou ,liuzhou,,https://mp.weixin.qq.com/s/T5Q_RT-xBmWH7mbGyTz3cQ,2020-01-01 06:30:00,51.90,1570,1570,2,43620
